email,course,hw_num,hw_grade,hw_details,exam_num,exam_details,exam_grade
ak1365@nittany.edu,STAT414,1.0,96.0,Turn in this homework online!,1.0,,96.0
ak1365@nittany.edu,STAT415,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
at2037@nittany.edu,PHYS214,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
at2037@nittany.edu,IST558,1.0,86.0,Turn in this homework online!,1.0,,86.0
at2037@nittany.edu,CSE583,1.0,70.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,70.0
as3627@nittany.edu,CSE583,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
as3627@nittany.edu,CMPSC360,1.0,73.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,73.0
as3627@nittany.edu,IST110,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
ah3078@nittany.edu,STAT414,1.0,80.0,Turn in this homework online!,1.0,,80.0
ah3078@nittany.edu,EE353,1.0,62.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,62.0
ah3078@nittany.edu,CMPSC448,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
ab8389@nittany.edu,CMPEN441,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
ab8389@nittany.edu,CMPEN351,1.0,63.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,63.0
ab8389@nittany.edu,PHYS214,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
at1813@nittany.edu,CMPEN431,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
at1813@nittany.edu,CMPSC221,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
at1813@nittany.edu,PHYS211,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
ao8250@nittany.edu,PHYS212,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
ao8250@nittany.edu,CSE583,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
ao8250@nittany.edu,DS220,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
al8826@nittany.edu,EE352,1.0,65.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,65.0
al8826@nittany.edu,ECON102,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
al8826@nittany.edu,CMPSC132,1.0,82.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,82.0
ab4479@nittany.edu,EE340,1.0,67.0,Turn in this homework online!,1.0,,67.0
ab4479@nittany.edu,EE212,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
ab4479@nittany.edu,EE211,1.0,82.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,82.0
al5806@nittany.edu,CHEM111,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
al5806@nittany.edu,EE210,1.0,84.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,84.0
al5806@nittany.edu,EE352,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
aj1457@nittany.edu,STAT318,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
aj1457@nittany.edu,EE210,1.0,91.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,91.0
aj1457@nittany.edu,EE212,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
ar7586@nittany.edu,CSE543,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
ar7586@nittany.edu,CHEM111,1.0,77.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,77.0
ar7586@nittany.edu,DS120,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
am6718@nittany.edu,CMPSC461,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
am6718@nittany.edu,MATH230,1.0,61.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,61.0
am6718@nittany.edu,CHEM111,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
as4057@nittany.edu,IST558,1.0,73.0,Turn in this homework online!,1.0,,73.0
as4057@nittany.edu,MATH231,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
as4057@nittany.edu,EE210,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
az6923@nittany.edu,IST110,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
az6923@nittany.edu,MATH140,1.0,71.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,71.0
az6923@nittany.edu,STAT318,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
ab9912@nittany.edu,MATH140,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
ab9912@nittany.edu,CHEM110,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
ab9912@nittany.edu,CMPSC475,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
ap8429@nittany.edu,CMPEN454,1.0,79.0,Turn in this homework online!,1.0,,79.0
ap8429@nittany.edu,IST558,1.0,97.0,Turn in this homework online!,1.0,,97.0
ap8429@nittany.edu,CMPEN441,1.0,65.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,65.0
ag4728@nittany.edu,DS220,1.0,75.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,75.0
ag4728@nittany.edu,CMPSC448,1.0,69.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,69.0
ag4728@nittany.edu,MATH231,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
am5109@nittany.edu,MATH140,1.0,69.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,69.0
am5109@nittany.edu,CMPEN454,1.0,73.0,Turn in this homework online!,1.0,,73.0
am5109@nittany.edu,IST558,1.0,84.0,Turn in this homework online!,1.0,,84.0
ab3717@nittany.edu,CHEM110,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
ab3717@nittany.edu,EE353,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
ab3717@nittany.edu,CMPEN362,1.0,74.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,74.0
ah5707@nittany.edu,IST128,1.0,74.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,74.0
ah5707@nittany.edu,STAT319,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
ah5707@nittany.edu,DS120,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
ad9791@nittany.edu,EE311,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
ad9791@nittany.edu,CHEM111,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
ad9791@nittany.edu,CSE543,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
aw2983@nittany.edu,PHYS213,1.0,98.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,98.0
aw2983@nittany.edu,ECON201,1.0,83.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,83.0
aw2983@nittany.edu,EE353,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
lj2993@nittany.edu,MATH140,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
lj2993@nittany.edu,CHEM112,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
lj2993@nittany.edu,STAT318,1.0,61.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,61.0
rb1832@nittany.edu,EE320,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
rb1832@nittany.edu,DS120,1.0,74.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,74.0
rb1832@nittany.edu,ECON101,1.0,94.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,94.0
ld8122@nittany.edu,IST110,1.0,62.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,62.0
ld8122@nittany.edu,CMPSC475,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
ld8122@nittany.edu,MATH231,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
md5914@nittany.edu,CMPEN431,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
md5914@nittany.edu,CMPSC360,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
md5914@nittany.edu,EE330,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
kf8268@nittany.edu,CMPEN362,1.0,91.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,91.0
kf8268@nittany.edu,CMPEN331,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
kf8268@nittany.edu,PHYS211,1.0,84.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,84.0
pz6665@nittany.edu,CHEM112,1.0,98.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,98.0
pz6665@nittany.edu,CHEM111,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
pz6665@nittany.edu,EE212,1.0,77.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,77.0
mr6639@nittany.edu,STAT319,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
mr6639@nittany.edu,CMPSC132,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
mr6639@nittany.edu,CMPEN431,1.0,70.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,70.0
sc5452@nittany.edu,PHYS211,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
sc5452@nittany.edu,CMPSC448,1.0,75.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,75.0
sc5452@nittany.edu,CMPSC221,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
tp8468@nittany.edu,IST128,1.0,81.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,81.0
tp8468@nittany.edu,PHYS214,1.0,84.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,84.0
tp8468@nittany.edu,MATH230,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
ih9335@nittany.edu,CMPEN331,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
ih9335@nittany.edu,CMPEN362,1.0,73.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,73.0
ih9335@nittany.edu,PHYS213,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
me9525@nittany.edu,EE311,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
me9525@nittany.edu,STAT319,1.0,91.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,91.0
me9525@nittany.edu,CMPEN454,1.0,98.0,Turn in this homework online!,1.0,,98.0
pr4075@nittany.edu,CMPSC461,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
pr4075@nittany.edu,STAT415,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
pr4075@nittany.edu,IST110,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
nk8056@nittany.edu,EE211,1.0,73.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,73.0
nk8056@nittany.edu,EE210,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
nk8056@nittany.edu,IST558,1.0,84.0,Turn in this homework online!,1.0,,84.0
jz5577@nittany.edu,CMPSC475,1.0,75.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,75.0
jz5577@nittany.edu,CMPSC431W,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
jz5577@nittany.edu,ECON201,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
jp2632@nittany.edu,ECON101,1.0,89.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,89.0
jp2632@nittany.edu,EE353,1.0,82.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,82.0
jp2632@nittany.edu,CHEM110,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
lk7361@nittany.edu,MATH140,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
lk7361@nittany.edu,EE353,1.0,63.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,63.0
lk7361@nittany.edu,MATH141,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
ks1880@nittany.edu,ECON101,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
ks1880@nittany.edu,STAT415,1.0,70.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,70.0
ks1880@nittany.edu,CMPSC448,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
ms2404@nittany.edu,STAT415,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
ms2404@nittany.edu,CMPEN411,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
ms2404@nittany.edu,CMPSC311,1.0,61.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,61.0
ih5431@nittany.edu,CMPSC431W,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
ih5431@nittany.edu,CMPSC497,1.0,96.0,Turn in this homework online!,1.0,,96.0
ih5431@nittany.edu,CMPSC475,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
sm4115@nittany.edu,STAT318,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
sm4115@nittany.edu,CMPEN411,1.0,62.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,62.0
sm4115@nittany.edu,CSE583,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
js8078@nittany.edu,CMPSC475,1.0,99.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,99.0
js8078@nittany.edu,DS120,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
js8078@nittany.edu,CMPEN431,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
mb4117@nittany.edu,DS120,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
mb4117@nittany.edu,CMPSC475,1.0,63.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,63.0
mb4117@nittany.edu,EE340,1.0,95.0,Turn in this homework online!,1.0,,95.0
rm8585@nittany.edu,CMPEN454,1.0,67.0,Turn in this homework online!,1.0,,67.0
rm8585@nittany.edu,EE311,1.0,92.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,92.0
rm8585@nittany.edu,MATH141,1.0,98.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,98.0
mg1976@nittany.edu,PHYS214,1.0,77.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,77.0
mg1976@nittany.edu,ECON102,1.0,63.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,63.0
mg1976@nittany.edu,IST110,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
kc4364@nittany.edu,EE211,1.0,82.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,82.0
kc4364@nittany.edu,CMPSC311,1.0,84.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,84.0
kc4364@nittany.edu,EE330,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
rh2046@nittany.edu,DS120,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
rh2046@nittany.edu,ECON201,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
rh2046@nittany.edu,CMPSC465,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
jh2885@nittany.edu,EE352,1.0,69.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,69.0
jh2885@nittany.edu,CMPSC131,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
jh2885@nittany.edu,EE330,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
ms9362@nittany.edu,ECON101,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
ms9362@nittany.edu,EE210,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
ms9362@nittany.edu,EE353,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
jl6447@nittany.edu,ECON102,1.0,65.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,65.0
jl6447@nittany.edu,EE340,1.0,82.0,Turn in this homework online!,1.0,,82.0
jl6447@nittany.edu,DS120,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
mr2329@nittany.edu,PHYS213,1.0,87.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,87.0
mr2329@nittany.edu,MATH141,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
mr2329@nittany.edu,ECON201,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
ma5503@nittany.edu,CMPEN270,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
ma5503@nittany.edu,EE353,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
ma5503@nittany.edu,CMPEN411,1.0,70.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,70.0
rb4971@nittany.edu,CMPEN351,1.0,86.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,86.0
rb4971@nittany.edu,STAT415,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
rb4971@nittany.edu,ECON102,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
jc5818@nittany.edu,PHYS211,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
jc5818@nittany.edu,CMPSC465,1.0,63.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,63.0
jc5818@nittany.edu,CMPEN454,1.0,87.0,Turn in this homework online!,1.0,,87.0
kg2618@nittany.edu,EE352,1.0,94.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,94.0
kg2618@nittany.edu,IST128,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
kg2618@nittany.edu,ECON101,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
lg4120@nittany.edu,CMPSC131,1.0,70.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,70.0
lg4120@nittany.edu,CMPSC465,1.0,92.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,92.0
lg4120@nittany.edu,MATH230,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
sg2123@nittany.edu,CMPSC497,1.0,69.0,Turn in this homework online!,1.0,,69.0
sg2123@nittany.edu,CHEM112,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
sg2123@nittany.edu,PHYS211,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
tp3946@nittany.edu,CMPEN441,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
tp3946@nittany.edu,DS120,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
tp3946@nittany.edu,EE340,1.0,71.0,Turn in this homework online!,1.0,,71.0
sb5076@nittany.edu,IST128,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
sb5076@nittany.edu,PHYS212,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
sb5076@nittany.edu,EE210,1.0,61.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,61.0
mh2221@nittany.edu,CMPSC497,1.0,80.0,Turn in this homework online!,1.0,,80.0
mh2221@nittany.edu,PHYS211,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
mh2221@nittany.edu,CMPEN331,1.0,89.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,89.0
vs8351@nittany.edu,IST110,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
vs8351@nittany.edu,MATH230,1.0,83.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,83.0
vs8351@nittany.edu,CHEM111,1.0,92.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,92.0
mm1324@nittany.edu,STAT319,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
mm1324@nittany.edu,MATH141,1.0,66.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,66.0
mm1324@nittany.edu,PHYS213,1.0,90.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,90.0
tg2289@nittany.edu,CMPEN441,1.0,82.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,82.0
tg2289@nittany.edu,CHEM110,1.0,71.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,71.0
tg2289@nittany.edu,CMPSC497,1.0,77.0,Turn in this homework online!,1.0,,77.0
mk4648@nittany.edu,CSE543,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
mk4648@nittany.edu,EE340,1.0,65.0,Turn in this homework online!,1.0,,65.0
mk4648@nittany.edu,EE353,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
sa8884@nittany.edu,CSE543,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
sa8884@nittany.edu,EE352,1.0,61.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,61.0
sa8884@nittany.edu,CMPSC461,1.0,89.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,89.0
kn1468@nittany.edu,ECON201,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
kn1468@nittany.edu,CMPEN441,1.0,73.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,73.0
kn1468@nittany.edu,EE353,1.0,76.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,76.0
jk5833@nittany.edu,CMPEN362,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
jk5833@nittany.edu,PHYS213,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
jk5833@nittany.edu,ECON102,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
md1699@nittany.edu,CMPSC448,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
md1699@nittany.edu,CMPEN270,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
md1699@nittany.edu,STAT415,1.0,62.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,62.0
mc4814@nittany.edu,IST110,1.0,89.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,89.0
mc4814@nittany.edu,CMPEN331,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
mc4814@nittany.edu,CMPEN351,1.0,94.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,94.0
ll2646@nittany.edu,CMPSC132,1.0,62.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,62.0
ll2646@nittany.edu,IST110,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
ll2646@nittany.edu,ECON101,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
mr3369@nittany.edu,ECON201,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
mr3369@nittany.edu,CHEM112,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
mr3369@nittany.edu,DS220,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
tb7100@nittany.edu,EE311,1.0,89.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,89.0
tb7100@nittany.edu,CMPSC132,1.0,72.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,72.0
tb7100@nittany.edu,IST558,1.0,77.0,Turn in this homework online!,1.0,,77.0
wm3293@nittany.edu,MATH231,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
wm3293@nittany.edu,CMPSC448,1.0,77.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,77.0
wm3293@nittany.edu,CMPSC131,1.0,71.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,71.0
jb9557@nittany.edu,CMPEN454,1.0,91.0,Turn in this homework online!,1.0,,91.0
jb9557@nittany.edu,CHEM111,1.0,68.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,68.0
jb9557@nittany.edu,MATH231,1.0,100.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,100.0
