Full Name,Email,Age,Zip,Phone,Gender,City,State,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade,Teaching Team ID
Alivia Brown DDS,ab3717@nittany.edu,21,33035,1214453150,F,Homestead,Florida,780 East Redwood Drive ,CHEM,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,69.0,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,64.0,1.0,Closed book exam for 100 marks,85.0,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,88.0,
Alexane Hermann,ah5707@nittany.edu,21,60613,8035503021,F,Chicago,Illinois,88 Harrison Street ,ECON,IST128,Introduction to Python,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,84.0,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,61.0,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,90.0,
Amaya Denesik,ad9791@nittany.edu,19,62530,5505925647,F,Divernon,Illinois,639 Princeton Rd. ,CHEM,EE311,Devices and Circuits I,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,61.0,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,93.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,68.0,
Andre Will,aw2983@nittany.edu,22,51573,7747714736,F,Stanton,Iowa,8687 N. Sleepy Hollow Court ,CMPSC,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,60.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,66.0,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,92.0,
Lenna Jewess Sr.,lj2993@nittany.edu,19,31216,2299506854,F,Macon,Georgia,7313 Stillwater Lane ,DS,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,75.0,CHEM112,Chemical Principles,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,97.0,STAT318,Elementary Probability,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,77.0,
Rosie Bruen,rb1832@nittany.edu,21,61252,7994282824,M,Fulton,Illinois,453 North Elm Dr. ,CSE,EE320,Network Security and Cryptography,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,76.0,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,86.0,ECON101,Principles of Economics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,92.0,
Lorenzo Dickens,ld8122@nittany.edu,19,50515,8963281882,M,Ayrshire,Iowa,8131 Elizabeth Ave. ,CSE,IST110,"Introduction to Information, People And Technology",3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,91.0,CMPSC475,Applications Programming,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,67.0,MATH231,Vector Calculus,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,99.0,
Marjorie Dickinson,md5914@nittany.edu,19,32925,5761414752,F,Patrick Afb,Florida,963 Court Road ,CMPEN,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,70.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,96.0,EE330,Energy Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,93.0,
Keon Fadel,kf8268@nittany.edu,21,94601,1983885794,M,Oakland,California,7764 Union Avenue ,CMPEN,CMPEN362,Communication Networks,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,89.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,90.0,PHYS211,Thermal Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,70.0,
Penelope Ziemann,pz6665@nittany.edu,22,85354,4903891156,F,Tonopah,Arizona,185 E. Trenton Street ,STAT,CHEM112,Chemical Principles,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,79.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,79.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,79.0,
Maximilian Ruecker,mr6639@nittany.edu,21,34609,3736806826,M,Spring Hill,Florida,308 Mammoth Dr. ,CSE,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,85.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,78.0,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,78.0,
Samanta Collier,sc5452@nittany.edu,18,30523,7993688907,M,Clarkesville,Georgia,7297 Applegate St. ,CSE,PHYS211,Thermal Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,74.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,62.0,CMPSC221,OOP with Web Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,88.0,
Tyree Pacocha,tp8468@nittany.edu,22,34210,1938713024,M,Bradenton,Florida,7529 Old Sunset Road ,CHEM,IST128,Introduction to Python,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,99.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,85.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,85.0,
Ima Hilll,ih9335@nittany.edu,22,80652,8096229224,F,Roggen,Colorado,9498 Newport Ave. ,CHEM,CMPEN331,Computer Organization And Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,100.0,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,73.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,64.0,1.0,Closed book exam for 100 marks,83.0,
Miss Ellsworth Goyette,me9525@nittany.edu,20,52776,5401056300,M,West Liberty,Iowa,266 Second Street ,IST,EE311,Devices and Circuits I,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,75.0,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,80.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,98.0,,,,
Pasquale Ritchie,pr4075@nittany.edu,21,52571,6892755465,M,Moravia,Iowa,232 W. Homewood Ave. ,IST,CMPSC461,Programming Language Concepts,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,69.0,STAT415,Introduction to Mathematical Statistics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,65.0,IST110,"Introduction to Information, People And Technology",3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,90.0,
Nicolas Kunde,nk8056@nittany.edu,19,96132,7725602202,F,Termo,California,83 Corona Street ,CMPSC,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,63.0,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,81.0,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,,,,
Jaunita Zemlak,jz5577@nittany.edu,22,20390,7301972665,M,Washington,District of Columbia,6 Andover Dr. ,CHEM,CMPSC475,Applications Programming,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,90.0,CMPSC431W,DBMS,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,63.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,96.0,
Jaunita Paucek,jp2632@nittany.edu,18,91106,6928175093,F,Pasadena,California,7297 Applegate St. ,CMPSC,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,89.0,1.0,Closed book exam for 100 marks,92.0,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,96.0,CHEM110,Environmental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,63.0,
Luisa Keebler,lk7361@nittany.edu,21,94947,4026102639,F,Novato,California,251 West Sheffield Drive ,STAT,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,65.0,EE353,Applied Electromagnetics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,77.0,MATH141,Matrices,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,90.0,
Karli Streich DDS,ks1880@nittany.edu,20,30339,7219545979,M,Atlanta,Georgia,9236 El Dorado St. ,EE,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,78.0,STAT415,Introduction to Mathematical Statistics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,81.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,84.0,15.0
Miss Stanton Hyatt,ms2404@nittany.edu,20,32164,3254434862,F,Palm Coast,Florida,63 Lake Forest Road ,PHYS,STAT415,Introduction to Mathematical Statistics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,68.0,CMPEN411,VLSI Digital Circuits,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,81.0,CMPSC311,Introduction to Systems Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,98.0,
